frame_index,t_sec,state.left_joint1,state.left_joint2,state.left_joint3,state.left_joint4,state.left_joint5,state.left_joint6,state.left_joint7,state.right_joint1,state.right_joint2,state.right_joint3,state.right_joint4,state.right_joint5,state.right_joint6,state.right_joint7,action.left_joint1,action.left_joint2,action.left_joint3,action.left_joint4,action.left_joint5,action.left_joint6,action.left_joint7,action.right_joint1,action.right_joint2,action.right_joint3,action.right_joint4,action.right_joint5,action.right_joint6,action.right_joint7
0,0.0,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
1,0.033333333,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
2,0.066666666,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
3,0.099999999,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
4,0.133333332,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
5,0.166666665,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
6,0.199999998,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
7,0.233333331,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
8,0.266666664,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
9,0.299999997,0.0,0.32009339332580566,-0.3597298264503479,0.0,0.23986059427261353,0.0,0.0,0.0,0.32039010524749756,-0.36018359661102295,0.0,0.2405238300561905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705,0.0,0.0,0.0,0.0,0.0,0.0,0.07020000368356705
