frame_index,t_sec,state.left_joint1,state.left_joint2,state.left_joint3,state.left_joint4,state.left_joint5,state.left_joint6,state.left_joint7,state.right_joint1,state.right_joint2,state.right_joint3,state.right_joint4,state.right_joint5,state.right_joint6,state.right_joint7,action.left_joint1,action.left_joint2,action.left_joint3,action.left_joint4,action.left_joint5,action.left_joint6,action.left_joint7,action.right_joint1,action.right_joint2,action.right_joint3,action.right_joint4,action.right_joint5,action.right_joint6,action.right_joint7
0,0.0,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426
1,0.033333333,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
2,0.066666666,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
3,0.099999999,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
4,0.133333332,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
5,0.166666665,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
6,0.199999998,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
7,0.233333331,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
8,0.266666664,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
9,0.299999997,0.0,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.47263509035110474,2.1224472522735596,-1.768173336982727,-0.3222704231739044,0.6251152157783508,-0.13347676396369934,0.06927582621574402,-0.03496960178017616,1.9517033100128174,-1.348185658454895,0.01917412504553795,0.48425185680389404,0.0644085705280304,0.05174825340509415
10,0.33333333,0.00010471975838299841,0.31953486800193787,-0.3599916100502014,0.0,0.240768164396286,0.0,0.06939999759197235,0.0,0.3200759291648865,-0.360602468252182,0.0,0.24055872857570648,0.0,0.06949999928474426,-0.007250521332025528,0.3397235572338104,-0.36685487627983093,-0.003377010114490986,0.23850880563259125,-0.006643554661422968,0.06946628540754318,0.005313069559633732,0.3178654909133911,-0.36322757601737976,0.003994601313024759,0.2323864996433258,-0.009234256111085415,0.06695868819952011
